100,000	#	rep
2,000	#	rep
20,000	#	rep
200,000	#	rep
500,000	#	rep
4,000	#	rep
40,000	#	rep
250,000	#	rep
300,000	#	rep
60,000	#	rep
1,200	#	rep
150,000	#	rep
8,000	#	rep
7,000	#	rep
400,000	#	rep
80,000	#	rep
35,000	#	rep
70,000	#	rep
600,000	#	rep
1,400	#	rep
1,100	#	rep
1,300	#	rep
90,000	#	rep
800,000	#	rep
120,000	#	rep
17,000	#	rep
700,000	#	rep
350,000	#	rep
750,000	#	rep
65,000	#	rep
160,000	#	rep
130,000	#	rep
450,000	#	rep
900,000	#	rep
1,900	#	rep
110,000	#	rep
2,700	#	rep
180,000	#	rep
170,000	#	rep
33,000	#	rep
650,000	#	rep
42,000	#	rep
225,000	#	rep
240,000	#	rep
550,000	#	rep
3,400	#	rep
95,000	#	rep
230,000	#	rep
29,000	#	rep
31,000	#	rep
115,000	#	rep
850,000	#	rep
44,000	#	rep
47,000	#	rep
43,000	#	rep
46,000	#	rep
52,000	#	rep
280,000	#	rep
165,000	#	rep
39,000	#	rep
54,000	#	rep
58,000	#	rep
64,000	#	rep
4,600	#	rep
270,000	#	rep
56,000	#	rep
53,000	#	rep
68,000	#	rep
57,000	#	rep
62,000	#	rep
320,000	#	rep
4,700	#	rep
66,000	#	rep
155,000	#	rep
63,000	#	rep
1,040	#	rep
67,000	#	rep
2,500,000	#	rep
4,100	#	rep
195,000	#	rep
340,000	#	rep
84,000	#	rep
73,000	#	rep
290,000	#	rep
69,000	#	rep
1,320	#	rep
1,140	#	rep
88,000	#	rep
82,000	#	rep
1,130	#	rep
92,000	#	rep
74,000	#	rep
87,000	#	rep
98,000	#	rep
370,000	#	rep
89,000	#	rep
61,000	#	rep
83,000	#	rep
86,000	#	rep
285,000	#	rep
265,000	#	rep
525,000	#	rep
480,000	#	rep
1,420	#	rep
112,000	#	rep
1,026	#	rep
27,500	#	rep
1,018	#	rep
1,036	#	rep
1,038	#	rep
9,600	#	rep
315,000	#	rep
1,102	#	rep
675,000	#	rep
91,000	#	rep
114,000	#	rep
1,248	#	rep
81,000	#	rep
1,138	#	rep
